unit_hmy,Property_Code,Unit_Code,StartDate,EndDate,sStatus,VacantDate,ReadyDate,Floor_Code,hbldg,Bldg_Code,Address_1,Address_2,Address_3,Address_4,City,Zip_Code,Country,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Bedrooms,Baths,Attributes_2,Attributes_5,Attributes_6,Attributes_8,Attributes_9,Attributes_10,dtLastModified,sFirstName,sLastName,scode
19,44400002,"A-0505  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
20,44400002,"A-0508  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
21,44400002,"A-0601  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
22,44400002,"A-0604  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
23,44400002,"A-0605  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
24,44400002,"A-0608  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
25,44400002,"A-0701  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
26,44400002,"A-0704  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
27,44400002,"A-0705  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
28,44400002,"A-0708  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
29,44400002,"A-0801  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
30,44400002,"A-0804  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
31,44400002,"A-0805  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
32,44400002,"A-0808  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
33,44400002,"A-0901  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
34,44400002,"A-0904  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
35,44400002,"A-0905  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
36,44400002,"A-0908  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
37,44400002,"A-1001  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
38,44400002,"A-1004  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
39,44400002,"A-1005  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
40,44400002,"A-1008  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
41,44400002,"A-1101  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
42,44400002,"A-1104  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
43,44400002,"A-1105  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
44,44400002,"A-1108  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
45,44400002,"A-1201  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
46,44400002,"A-1204  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
47,44400002,"A-1205  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
48,44400002,"A-1208  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
49,44400002,"A-1301  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
50,44400002,"A-1304  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
51,44400002,"A-1305  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
52,44400002,"A-1308  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
53,44400002,"A-1401  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
54,44400002,"A-1404  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
55,44400002,"A-1405  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
56,44400002,"A-1408  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
57,44400002,"A-1502  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
58,44400002,"A-1505  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
59,44400002,"A-1506  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
60,44400002,"A-1509  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
61,44400002,"A-1601  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
62,44400002,"A-1604  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
63,44400002,"A-1605  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
64,44400002,"A-1608  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
65,44400002,"A-1701  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
66,44400002,"A-1704  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
67,44400002,"A-1705  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
68,44400002,"A-1708  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GT","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
69,44400002,"A-1801  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
70,44400002,"A-1804  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
71,44400002,"A-1805  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
72,44400002,"A-1808  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
73,44400002,"A-1901  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
74,44400002,"A-1904  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
75,44400002,"A-1905  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
76,44400002,"A-1908  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
77,44400002,"A-2001  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
78,44400002,"A-2004  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
79,44400002,"A-2005  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
80,44400002,"A-2008  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
81,44400002,"A-2101  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
82,44400002,"A-2104  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
83,44400002,"A-2105  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
84,44400002,"A-2108  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
85,44400002,"A-2201  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
86,44400002,"A-2204  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
87,44400002,"A-2205  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
88,44400002,"A-2208  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
89,44400002,"A-2301  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
90,44400002,"A-2304  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
91,44400002,"A-2305  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
92,44400002,"A-2308  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
93,44400002,"A-2401  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
94,44400002,"A-2404  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
95,44400002,"A-2405  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
96,44400002,"A-2408  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GU","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
97,44400002,"A-0103  ","12/06/2020",,"Model",,"12/06/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.54,0,0,"02_A_B1 ",2,2,,,,,,,"12/06/2020",,,
98,44400002,"A-0104  ","12/06/2020",,"Vacant Unrented Not Ready","12/06/2020","18/05/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.54,0,0,"02_A_B1 ",2,2,,,,,,,"12/06/2020",,,
99,44400002,"A-0202  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.54,0,0,"02_A_B1 ",2,2,,,,,,,"12/06/2020",,,
100,44400002,"A-0203  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
101,44400002,"A-0206  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
102,44400002,"A-0207  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
103,44400002,"A-0302  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
104,44400002,"A-0303  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
105,44400002,"A-0306  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
106,44400002,"A-0307  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
107,44400002,"A-0402  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
108,44400002,"A-0403  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
109,44400002,"A-0406  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
110,44400002,"A-0407  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
111,44400002,"A-0502  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
112,44400002,"A-0503  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",3280,796.536,0,0,"02_A_B1 ",2,2,,,,,,,"03/03/2020",,,
